date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:03	109248/109248	---M--	200	added ('OK')	font/woff2	etag:%2235a14f4-1aac0-591ccd59d7146%22	http://themesboss.com/elvish/fonts/materialdesignicons-webfont.woff2?v=2.0.46	D:/Code/Proj/themesboss.com/elvish/fonts/materialdesignicons-webfontdf71.woff2	(from http://themesboss.com/elvish/css/materialdesignicons.min.css)
20:50:09	144072/144072	---M--	200	added ('OK')	font/woff	etag:%2235a14f3-232c8-591ccd59687b7%22	http://themesboss.com/elvish/fonts/materialdesignicons-webfont.woff?v=2.0.46	D:/Code/Proj/themesboss.com/elvish/fonts/materialdesignicons-webfontdf71.woff	(from http://themesboss.com/elvish/css/materialdesignicons.min.css)
20:50:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Mar%202020%2007:50:14%20GMT	http://themesboss.com/elvish/fonts/materialdesignicons-webfont.svg?v=2.0.46	D:/Code/Proj/themesboss.com/elvish/fonts/materialdesignicons-webfont.30df71.delayed	(from http://themesboss.com/elvish/css/materialdesignicons.min.css)
20:50:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Mar%202020%2007:50:14%20GMT	http://themesboss.com/elvish/fonts/MobiriseIcons.eot?5dqoim	D:/Code/Proj/themesboss.com/elvish/fonts/MobiriseIcons73ab.eot	(from http://themesboss.com/elvish/css/mobiriseicons.css)
20:50:19	54304/54304	---M--	200	added ('OK')	font/ttf	etag:%2235a14f6-d420-591ccd5a506b5%22	http://themesboss.com/elvish/fonts/mobirise.ttf?5dqoim	D:/Code/Proj/themesboss.com/elvish/fonts/mobirise73ab.ttf	(from http://themesboss.com/elvish/css/mobiriseicons.css)
20:50:28	54380/54380	---M--	200	added ('OK')	font/woff	etag:%2235a14f7-d46c-591ccd5a5a6dd%22	http://themesboss.com/elvish/fonts/mobirise.woff?5dqoim	D:/Code/Proj/themesboss.com/elvish/fonts/mobirise73ab.woff	(from http://themesboss.com/elvish/css/mobiriseicons.css)
20:50:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Mar%202020%2007:50:33%20GMT	http://themesboss.com/elvish/fonts/MobiriseIcons.svg?5dqoim	D:/Code/Proj/themesboss.com/elvish/fonts/MobiriseIcons.3473ab.delayed	(from http://themesboss.com/elvish/css/mobiriseicons.css)
20:50:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Mar%202020%2007:50:33%20GMT	http://themesboss.com/elvish/css/AjaxLoader.gif	D:/Code/Proj/themesboss.com/elvish/css/AjaxLoader.gif	(from http://themesboss.com/elvish/css/owl.theme.css)
20:50:29	292776/292776	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235a14f1-477a8-591ccd5946ca6%22	http://themesboss.com/elvish/fonts/materialdesignicons-webfont.eot?v=2.0.46	D:/Code/Proj/themesboss.com/elvish/fonts/materialdesignicons-webfontdf71.eot	(from http://themesboss.com/elvish/css/materialdesignicons.min.css)
20:50:30	292776/292776	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235a14f1-477a8-591ccd5946ca6%22	http://themesboss.com/elvish/fonts/materialdesignicons-webfont.eot?	D:/Code/Proj/themesboss.com/elvish/fonts/materialdesignicons-webfontd41d.eot	(from http://themesboss.com/elvish/css/materialdesignicons.min.css)
20:50:33	10390/10390	---M--	200	added ('OK')	image/png	etag:%2235a14f9-2896-591ccd5b4d98b%22	http://themesboss.com/elvish/images/bottom-color.png	D:/Code/Proj/themesboss.com/elvish/images/bottom-color.png	(from http://themesboss.com/elvish/css/style.css)
20:50:49	292556/292556	---M--	200	added ('OK')	font/ttf	etag:%2235a14f2-476cc-591ccd58c8cfe%22	http://themesboss.com/elvish/fonts/materialdesignicons-webfont.ttf?v=2.0.46	D:/Code/Proj/themesboss.com/elvish/fonts/materialdesignicons-webfontdf71.ttf	(from http://themesboss.com/elvish/css/materialdesignicons.min.css)
20:51:08	216392/216392	---M--	200	added ('OK')	image/jpeg	etag:%2235a14ff-34d48-591ccd5ebace4%22	http://themesboss.com/elvish/images/img-1.jpg	D:/Code/Proj/themesboss.com/elvish/images/img-1.jpg	(from http://themesboss.com/elvish/css/style.css)
20:51:12	264994/264994	---M--	200	added ('OK')	image/jpeg	etag:%2235a14fe-40b22-591ccd5df73f1%22	http://themesboss.com/elvish/images/home-bg.jpg	D:/Code/Proj/themesboss.com/elvish/images/home-bg.jpg	(from http://themesboss.com/elvish/css/style.css)
20:51:15	144877/144877	---M--	200	added ('OK')	text/css	etag:%2235a151a-235ed-591ccd65a6508%22	http://themesboss.com/elvish/assets/css/bootstrap.min.css	D:/Code/Proj/themesboss.com/elvish/assets/css/bootstrap.min.css	(from http://themesboss.com/elvish/index.html)
20:51:16	289323/289323	---M--	200	added ('OK')	image/jpeg	etag:%2235a14fb-46a2b-591ccd5cfe383%22	http://themesboss.com/elvish/images/header_img.jpg	D:/Code/Proj/themesboss.com/elvish/images/header_img.jpg	(from http://themesboss.com/elvish/css/style.css)
20:51:16	1642/1642	---M--	200	added ('OK')	text/css	etag:%2235a1519-66a-591ccd6555bf4%22	http://themesboss.com/elvish/assets/css/demo.css	D:/Code/Proj/themesboss.com/elvish/assets/css/demo.css	(from http://themesboss.com/elvish/index.html)
20:51:17	53326/53326	---M-Z	200	added ('OK')	text/html	etag:%2235a1473-d04e-591ccd51a3327-gzip%22	http://themesboss.com/elvish/index_2.html	D:/Code/Proj/themesboss.com/elvish/index_2.html	(from http://themesboss.com/elvish/index.html)
20:51:23	205408/205408	---M--	200	added ('OK')	image/jpeg	etag:%2235a1500-32260-591ccd5fe3af5%22	http://themesboss.com/elvish/images/img-2.jpg	D:/Code/Proj/themesboss.com/elvish/images/img-2.jpg	(from http://themesboss.com/elvish/css/style.css)
20:51:23	53490/53490	---M-Z	200	added ('OK')	text/html	etag:%2235a1475-d0f2-591ccd51fb16c-gzip%22	http://themesboss.com/elvish/index_3.html	D:/Code/Proj/themesboss.com/elvish/index_3.html	(from http://themesboss.com/elvish/index.html)
20:51:59	268845/268845	---M--	200	added ('OK')	image/png	etag:%2235a1539-41a2d-591ccd704e22b%22	http://themesboss.com/elvish/assets/images/demo/1.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/1.png	(from http://themesboss.com/elvish/index.html)
20:51:59	261976/261976	---M--	200	added ('OK')	image/png	etag:%2235a1543-3ff58-591ccd75534f3%22	http://themesboss.com/elvish/assets/images/demo/2.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/2.png	(from http://themesboss.com/elvish/index.html)
20:52:00	53473/53473	---M-Z	200	added ('OK')	text/html	etag:%2235a1478-d0e1-591ccd521efa6-gzip%22	http://themesboss.com/elvish/index_4.html	D:/Code/Proj/themesboss.com/elvish/index_4.html	(from http://themesboss.com/elvish/index.html)
20:52:01	53335/53335	---M-Z	200	added ('OK')	text/html	etag:%2235a14ab-d057-591ccd52746db-gzip%22	http://themesboss.com/elvish/index_5.html	D:/Code/Proj/themesboss.com/elvish/index_5.html	(from http://themesboss.com/elvish/index.html)
20:52:03	341119/341119	---M--	200	added ('OK')	image/jpeg	etag:%2235a1501-5347f-591ccd5fd6fd4%22	http://themesboss.com/elvish/images/img-3.jpg	D:/Code/Proj/themesboss.com/elvish/images/img-3.jpg	(from http://themesboss.com/elvish/css/style.css)
20:52:10	304195/304195	---M--	200	added ('OK')	image/png	etag:%2235a1544-4a443-591ccd76e143a%22	http://themesboss.com/elvish/assets/images/demo/3.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/3.png	(from http://themesboss.com/elvish/index.html)
20:52:10	53499/53499	---M-Z	200	added ('OK')	text/html	etag:%2235a14ac-d0fb-591ccd52988fd-gzip%22	http://themesboss.com/elvish/index_6.html	D:/Code/Proj/themesboss.com/elvish/index_6.html	(from http://themesboss.com/elvish/index.html)
20:52:16	53474/53474	---M-Z	200	added ('OK')	text/html	etag:%2235a14e1-d0e2-591ccd53f37d8-gzip%22	http://themesboss.com/elvish/index_7.html	D:/Code/Proj/themesboss.com/elvish/index_7.html	(from http://themesboss.com/elvish/index.html)
20:52:35	255600/255600	---M--	200	added ('OK')	image/png	etag:%2235a1545-3e670-591ccd7647b29%22	http://themesboss.com/elvish/assets/images/demo/4.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/4.png	(from http://themesboss.com/elvish/index.html)
20:52:36	251743/251743	---M--	200	added ('OK')	image/png	etag:%2235a1546-3d75f-591ccd770e2fc%22	http://themesboss.com/elvish/assets/images/demo/5.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/5.png	(from http://themesboss.com/elvish/index.html)
20:52:36	53336/53336	---M-Z	200	added ('OK')	text/html	etag:%2235a14e2-d058-591ccd530f374-gzip%22	http://themesboss.com/elvish/index_8.html	D:/Code/Proj/themesboss.com/elvish/index_8.html	(from http://themesboss.com/elvish/index.html)
20:52:37	53500/53500	---M-Z	200	added ('OK')	text/html	etag:%2235a14e3-d0fc-591ccd53f62d1-gzip%22	http://themesboss.com/elvish/index_9.html	D:/Code/Proj/themesboss.com/elvish/index_9.html	(from http://themesboss.com/elvish/index.html)
20:52:57	252301/252301	---M--	200	added ('OK')	image/png	etag:%2235a1548-3d98d-591ccd78c566d%22	http://themesboss.com/elvish/assets/images/demo/7.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/7.png	(from http://themesboss.com/elvish/index.html)
20:52:57	53487/53487	---M-Z	200	added ('OK')	text/html	etag:%2235a1460-d0ef-591ccd4f9be72-gzip%22	http://themesboss.com/elvish/index_10.html	D:/Code/Proj/themesboss.com/elvish/index_10.html	(from http://themesboss.com/elvish/index.html)
20:53:00	290048/290048	---M--	200	added ('OK')	image/png	etag:%2235a1547-46d00-591ccd77c1e06%22	http://themesboss.com/elvish/assets/images/demo/6.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/6.png	(from http://themesboss.com/elvish/index.html)
20:53:01	53634/53634	---M-Z	200	added ('OK')	text/html	etag:%2235a1461-d182-591ccd4fb7fab-gzip%22	http://themesboss.com/elvish/index_11.html	D:/Code/Proj/themesboss.com/elvish/index_11.html	(from http://themesboss.com/elvish/index.html)
20:53:16	249029/249029	---M--	200	added ('OK')	image/png	etag:%2235a1549-3ccc5-591ccd78c5a55%22	http://themesboss.com/elvish/assets/images/demo/8.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/8.png	(from http://themesboss.com/elvish/index.html)
20:53:17	53497/53497	---M-Z	200	added ('OK')	text/html	etag:%2235a1462-d0f9-591ccd5015bb1-gzip%22	http://themesboss.com/elvish/index_12.html	D:/Code/Proj/themesboss.com/elvish/index_12.html	(from http://themesboss.com/elvish/index.html)
20:53:21	270899/270899	---M--	200	added ('OK')	image/png	etag:%2235a154a-42233-591ccd79e9275%22	http://themesboss.com/elvish/assets/images/demo/9.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/9.png	(from http://themesboss.com/elvish/index.html)
20:53:22	53789/53789	---M-Z	200	added ('OK')	text/html	etag:%2235a1463-d21d-591ccd5031902-gzip%22	http://themesboss.com/elvish/index_13.html	D:/Code/Proj/themesboss.com/elvish/index_13.html	(from http://themesboss.com/elvish/index.html)
20:53:44	284649/284649	---M--	200	added ('OK')	image/png	etag:%2235a153a-457e9-591ccd6f4c51c%22	http://themesboss.com/elvish/assets/images/demo/10.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/10.png	(from http://themesboss.com/elvish/index.html)
20:53:44	264334/264334	---M--	200	added ('OK')	image/png	etag:%2235a153b-4088e-591ccd70c8351%22	http://themesboss.com/elvish/assets/images/demo/11.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/11.png	(from http://themesboss.com/elvish/index.html)
20:53:45	59106/59106	---M-Z	200	added ('OK')	text/html	etag:%2235a1464-e6e2-591ccd5091448-gzip%22	http://themesboss.com/elvish/index_14.html	D:/Code/Proj/themesboss.com/elvish/index_14.html	(from http://themesboss.com/elvish/index.html)
20:53:45	59115/59115	---M-Z	200	added ('OK')	text/html	etag:%2235a1465-e6eb-591ccd50b0079-gzip%22	http://themesboss.com/elvish/index_15.html	D:/Code/Proj/themesboss.com/elvish/index_15.html	(from http://themesboss.com/elvish/index.html)
20:53:57	247682/247682	---M--	200	added ('OK')	image/png	etag:%2235a153c-3c782-591ccd711422e%22	http://themesboss.com/elvish/assets/images/demo/12.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/12.png	(from http://themesboss.com/elvish/index.html)
20:53:58	59116/59116	---M-Z	200	added ('OK')	text/html	etag:%2235a1469-e6ec-591ccd510c50e-gzip%22	http://themesboss.com/elvish/index_16.html	D:/Code/Proj/themesboss.com/elvish/index_16.html	(from http://themesboss.com/elvish/index.html)
20:54:10	303195/303195	---M--	200	added ('OK')	image/png	etag:%2235a153d-4a05b-591ccd72700a9%22	http://themesboss.com/elvish/assets/images/demo/13.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/13.png	(from http://themesboss.com/elvish/index.html)
20:54:11	54482/54482	---M-Z	200	added ('OK')	text/html	etag:%2235a146c-d4d2-591ccd5128260-gzip%22	http://themesboss.com/elvish/index_17.html	D:/Code/Proj/themesboss.com/elvish/index_17.html	(from http://themesboss.com/elvish/index.html)
20:54:16	189237/189237	---M--	200	added ('OK')	image/png	etag:%2235a153f-2e335-591ccd72b4e3d%22	http://themesboss.com/elvish/assets/images/demo/15.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/15.png	(from http://themesboss.com/elvish/index.html)
20:54:18	53933/53933	---M-Z	200	added ('OK')	text/html	etag:%2235a146f-d2ad-591ccd5183b3d-gzip%22	http://themesboss.com/elvish/index_18.html	D:/Code/Proj/themesboss.com/elvish/index_18.html	(from http://themesboss.com/elvish/index.html)
20:54:27	261142/261142	---M--	200	added ('OK')	image/png	etag:%2235a153e-3fc16-591ccd7209fd4%22	http://themesboss.com/elvish/assets/images/demo/14.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/14.png	(from http://themesboss.com/elvish/index.html)
20:54:36	112044/112044	---M--	200	added ('OK')	image/png	etag:%2235a1542-1b5ac-591ccd75052ef%22	http://themesboss.com/elvish/assets/images/demo/18.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/18.png	(from http://themesboss.com/elvish/index.html)
20:54:37	22870/22870	---M-Z	200	added ('OK')	text/html	etag:%2235a145c-5956-591ccd4ec29d5-gzip%22	http://themesboss.com/elvish/blog-single.html	D:/Code/Proj/themesboss.com/elvish/blog-single.html	(from http://themesboss.com/elvish/index.html)
20:54:38	251820/251820	---M--	200	added ('OK')	image/png	etag:%2235a1540-3d7ac-591ccd74060d8%22	http://themesboss.com/elvish/assets/images/demo/16.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/16.png	(from http://themesboss.com/elvish/index.html)
20:54:52	154101/154101	---M--	200	added ('OK')	image/png	etag:%2235a154c-259f5-591ccd7a218d1%22	http://themesboss.com/elvish/assets/images/demo/blog-sidebar.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/blog-sidebar.png	(from http://themesboss.com/elvish/index.html)
20:54:53	261976/261976	---M--	200	added ('OK')	image/png	etag:%2235a1541-3ff58-591ccd7419189%22	http://themesboss.com/elvish/assets/images/demo/17.png	D:/Code/Proj/themesboss.com/elvish/assets/images/demo/17.png	(from http://themesboss.com/elvish/index.html)
20:54:56	19033/19033	---M--	200	added ('OK')	application/javascript	etag:%2235a151e-4a59-591ccd66f6beb%22	http://themesboss.com/elvish/assets/js/popper.min.js	D:/Code/Proj/themesboss.com/elvish/assets/js/popper.min.js	(from http://themesboss.com/elvish/index.html)
